onset_beat;duration_beat;midi_channel;freq;midi_pitch;velocity;onset_sec;duration_sec;boundary
1.5;0.47292;0;391,995436;67;80;0.40323;0.38138;0
2;0.47292;0;329,6275569;64;80;0.80645;0.38138;0
2.5;0.47292;0;440;69;80;1.2097;0.38138;0
3;0.47292;0;293,6647679;62;80;1.6129;0.38138;0
3.5;0.23542;0;329,6275569;64;80;2.0161;0.18985;0
3.75;0.23542;0;349,2282314;65;80;2.2177;0.18985;0
4;0.47292;0;391,995436;67;80;2.4194;0.38138;0
4.5;0.47292;0;195,997718;55;80;2.8226;0.38138;0
5;0.47292;0;261,6255653;60;80;3.2258;0.38138;0
5.5;0.23542;0;293,6647679;62;80;3.629;0.18985;0
5.75;0.23542;0;329,6275569;64;80;3.8306;0.18985;0
6;1.1854;0;349,2282314;65;80;4.0323;0.95598;0
7.25;0.23542;0;391,995436;67;80;5.0403;0.18985;0
7.5;0.23542;0;440;69;80;5.2419;0.18985;0
7.75;0.23542;0;493,8833013;71;80;5.4436;0.18985;0
8;0.94792;0;587,3295358;74;80;5.6452;0.76445;0
9;0.47292;0;523,2511306;72;80;6.4516;0.38138;1
9.5;0.47292;0;261,6255653;60;80;6.8548;0.38138;0
10;0.47292;0;329,6275569;64;80;7.2581;0.38138;0
10.5;0.47292;0;261,6255653;60;80;7.6613;0.38138;0
11;0.94792;0;391,995436;67;80;8.0645;0.76445;0
12;0.94792;0;349,2282314;65;80;8.871;0.76445;0
13;0.23542;0;329,6275569;64;80;9.6774;0.18985;0
13.25;0.23542;0;293,6647679;62;80;9.879;0.18985;0
13.5;0.71042;0;261,6255653;60;80;10.081;0.57292;0
14.25;0.23542;0;246,9416506;59;80;10.685;0.18985;0
14.5;0.23542;0;220;57;80;10.887;0.18985;0
14.75;0.23542;0;246,9416506;59;80;11.089;0.18985;0
15;0.94792;0;261,6255653;60;80;11.29;0.76445;0
16;0.94792;0;261,6255653;60;80;12.097;0.76445;0
17.25;0.23542;0;783,990872;79;80;13.105;0.18985;1
17.5;0.23542;0;391,995436;67;80;13.306;0.18985;0
17.75;0.23542;0;783,990872;79;80;13.508;0.18985;0
18;0.23542;0;783,990872;79;80;13.71;0.18985;0
18.25;0.23542;0;880;81;80;13.911;0.18985;0
18.5;0.23542;0;783,990872;79;80;14.113;0.18985;0
18.75;0.23542;0;880;81;80;14.315;0.18985;0
19;0.23542;0;698,4564629;77;80;14.516;0.18985;0
19.25;0.23542;0;698,4564629;77;80;14.718;0.18985;0
19.5;0.23542;0;349,2282314;65;80;14.919;0.18985;0
19.75;0.23542;0;698,4564629;77;80;15.121;0.18985;0
20;0.23542;0;698,4564629;77;80;15.323;0.18985;0
20.25;0.23542;0;783,990872;79;80;15.524;0.18985;0
20.5;0.23542;0;698,4564629;77;80;15.726;0.18985;0
20.75;0.23542;0;783,990872;79;80;15.927;0.18985;0
21;0.23542;0;659,2551138;76;80;16.129;0.18985;0
21.25;0.23542;0;391,995436;67;80;16.331;0.18985;0
21.5;0.23542;0;523,2511306;72;80;16.532;0.18985;0
21.75;0.23542;0;587,3295358;74;80;16.734;0.18985;0
22;0.23542;0;659,2551138;76;80;16.935;0.18985;0
22.25;0.23542;0;391,995436;67;80;17.137;0.18985;0
22.5;0.23542;0;523,2511306;72;80;17.339;0.18985;0
22.75;0.23542;0;587,3295358;74;80;17.54;0.18985;0
23;0.23542;0;659,2551138;76;80;17.742;0.18985;0
23.25;0.23542;0;698,4564629;77;80;17.944;0.18985;0
23.5;0.23542;0;587,3295358;74;80;18.145;0.18985;0
23.75;0.23542;0;659,2551138;76;80;18.347;0.18985;0
24;0.47292;0;523,2511306;72;80;18.548;0.38138;0
24.5;0.47292;0;391,995436;67;80;18.952;0.38138;0
25;0.23542;0;261,6255653;60;80;19.355;0.18985;0
25.25;0.11667;0;523,2511306;72;80;19.556;0.094086;1
25.375;0.11667;0;587,3295358;74;80;19.657;0.094086;0
25.5;0.11667;0;659,2551138;76;80;19.758;0.094086;0
25.625;0.11667;0;587,3295358;74;80;19.859;0.094086;0
25.75;0.23542;0;523,2511306;72;80;19.96;0.18985;0
26;0.23542;0;783,990872;79;80;20.161;0.18985;0
26.25;0.23542;0;659,2551138;76;80;20.363;0.18985;0
26.5;0.23542;0;1046,502261;84;80;20.565;0.18985;0
26.75;0.23542;0;783,990872;79;80;20.766;0.18985;0
27;0.23542;0;659,2551138;76;80;20.968;0.18985;0
27.25;0.11667;0;783,990872;79;80;21.169;0.094086;0
27.375;0.11667;0;698,4564629;77;80;21.27;0.094086;0
27.5;0.11667;0;659,2551138;76;80;21.371;0.094086;0
27.625;0.11667;0;698,4564629;77;80;21.472;0.094086;0
27.75;0.23542;0;783,990872;79;80;21.573;0.18985;0
28;0.23542;0;523,2511306;72;80;21.774;0.18985;0
28.25;0.23542;0;659,2551138;76;80;21.976;0.18985;0
28.5;0.23542;0;391,995436;67;80;22.177;0.18985;0
28.75;0.23542;0;493,8833013;71;80;22.379;0.18985;0
29;0.47292;0;523,2511306;72;80;22.581;0.38138;0
29.5;0.94792;0;261,6255653;60;80;22.984;0.76445;1
30.5;0.23542;0;293,6647679;62;80;23.79;0.18985;0
30.75;0.23542;0;329,6275569;64;80;23.992;0.18985;0
31;0.47292;0;349,2282314;65;80;24.194;0.38138;0
31.5;0.23542;0;329,6275569;64;80;24.597;0.18985;0
31.75;0.23542;0;349,2282314;65;80;24.798;0.18985;0
32;0.23542;0;293,6647679;62;80;25;0.18985;0
32.25;0.23542;0;329,6275569;64;80;25.202;0.18985;0
32.5;0.23542;0;349,2282314;65;80;25.403;0.18985;0
32.75;0.23542;0;391,995436;67;80;25.605;0.18985;0
33;0.47292;0;329,6275569;64;80;25.806;0.38138;0
33.5;0.47292;0;440;69;80;26.21;0.38138;0
34;0.47292;0;391,995436;67;80;26.613;0.38138;0
34.5;0.23542;0;440;69;80;27.016;0.18985;0
34.75;0.23542;0;391,995436;67;80;27.218;0.18985;0
35;0.23542;0;349,2282314;65;80;27.419;0.18985;0
35.25;0.23542;0;391,995436;67;80;27.621;0.18985;0
35.5;0.23542;0;329,6275569;64;80;27.823;0.18985;0
35.75;0.23542;0;349,2282314;65;80;28.024;0.18985;0
36;0.94792;0;293,6647679;62;80;28.226;0.76445;0
37;1.4229;0;261,6255653;60;80;29.032;1.1475;0
38.5;0.47292;0;391,995436;67;80;30.242;0.38138;1
39;0.23542;0;440;69;80;30.645;0.18985;0
39.25;0.23542;0;391,995436;67;80;30.847;0.18985;0
39.5;0.23542;0;349,2282314;65;80;31.048;0.18985;0
39.75;0.23542;0;391,995436;67;80;31.25;0.18985;0
40;0.47292;0;659,2551138;76;80;31.452;0.38138;0
40.5;0.47292;0;523,2511306;72;80;31.855;0.38138;0
41;0.47292;0;391,995436;67;80;32.258;0.38138;0
41.5;0.23542;0;349,2282314;65;80;32.661;0.18985;0
41.75;0.23542;0;329,6275569;64;80;32.863;0.18985;0
42;0.47292;0;349,2282314;65;80;33.065;0.38138;0
42.5;0.47292;0;587,3295358;74;80;33.468;0.38138;0
43;0.47292;0;329,6275569;64;80;33.871;0.38138;0
43.5;0.47292;0;523,2511306;72;80;34.274;0.38138;0
44;0.47292;0;293,6647679;62;80;34.677;0.38138;0
44.5;0.47292;0;493,8833013;71;80;35.081;0.38138;0
45;0.47292;0;523,2511306;72;80;35.484;0.38138;0
45.5;0.94792;0;261,6255653;60;80;35.887;0.76445;1
46.5;0.47292;0;293,6647679;62;80;36.694;0.38138;0
47;0.47292;0;293,6647679;62;80;37.097;0.38138;0
47.5;0.23542;0;329,6275569;64;80;37.5;0.18985;0
47.75;0.23542;0;349,2282314;65;80;37.702;0.18985;0
48;0.47292;0;391,995436;67;80;37.903;0.38138;0
48.5;0.23542;0;349,2282314;65;80;38.306;0.18985;0
48.75;0.23542;0;391,995436;67;80;38.508;0.18985;0
49;0.47292;0;440;69;80;38.71;0.38138;0
49.5;0.94792;0;391,995436;67;80;39.113;0.76445;0
50.5;0.94792;0;349,2282314;65;80;39.919;0.76445;0
51.5;0.47292;0;329,6275569;64;80;40.726;0.38138;0
52;0.94792;0;293,6647679;62;80;41.129;0.76445;0
53;0.47292;0;261,6255653;60;80;41.936;0.38138;1
53.5;0.47292;0;523,2511306;72;80;42.339;0.38138;0
54;0.47292;0;523,2511306;72;80;42.742;0.38138;0
54.5;0.47292;0;523,2511306;72;80;43.145;0.38138;0
55;0.94792;0;349,2282314;65;80;43.548;0.76445;0
56;1.4229;0;440;69;80;44.355;1.1475;0
57.5;0.47292;0;293,6647679;62;80;45.565;0.38138;0
58;0.47292;0;391,995436;67;80;45.968;0.38138;0
58.5;0.47292;0;349,2282314;65;80;46.371;0.38138;0
59;0.94792;0;329,6275569;64;80;46.774;0.76445;0
60;0.94792;0;261,6255653;60;80;47.581;0.76445;0
61.25;0.23542;0;391,995436;67;80;48.589;0.18985;1
61.5;0.23542;0;440;69;80;48.79;0.18985;0
61.75;0.23542;0;493,8833013;71;80;48.992;0.18985;0
62;0.23542;0;523,2511306;72;80;49.194;0.18985;0
62.25;0.23542;0;587,3295358;74;80;49.395;0.18985;0
62.5;0.23542;0;659,2551138;76;80;49.597;0.18985;0
62.75;0.23542;0;698,4564629;77;80;49.798;0.18985;0
63;0.23542;0;783,990872;79;80;50;0.18985;0
63.25;0.23542;0;698,4564629;77;80;50.202;0.18985;0
63.5;0.23542;0;783,990872;79;80;50.403;0.18985;0
63.75;0.23542;0;880;81;80;50.605;0.18985;0
64;0.23542;0;587,3295358;74;80;50.806;0.18985;0
64.25;0.23542;0;880;81;80;51.008;0.18985;0
64.5;0.23542;0;783,990872;79;80;51.21;0.18985;0
64.75;0.23542;0;698,4564629;77;80;51.411;0.18985;0
65;0.47292;0;659,2551138;76;80;51.613;0.38138;0
65.5;0.23542;0;261,6255653;60;80;52.016;0.18985;1
65.75;0.23542;0;293,6647679;62;80;52.218;0.18985;0
66;0.47292;0;329,6275569;64;80;52.419;0.38138;0
66.5;0.47292;0;261,6255653;60;80;52.823;0.38138;0
67;0.47292;0;391,995436;67;80;53.226;0.38138;0
67.5;0.47292;0;329,6275569;64;80;53.629;0.38138;0
68;0.47292;0;440;69;80;54.032;0.38138;0
68.5;0.23542;0;493,8833013;71;80;54.436;0.18985;0
68.75;0.23542;0;587,3295358;74;80;54.637;0.18985;0
69;1.4229;0;523,2511306;72;80;54.839;1.1475;0
70.5;0.47292;0;391,995436;67;80;56.048;0.38138;1
71;0.47292;0;440;69;80;56.452;0.38138;0
71.5;0.47292;0;440;69;80;56.855;0.38138;0
72;0.47292;0;440;69;80;57.258;0.38138;0
72.5;0.23542;0;391,995436;67;80;57.661;0.18985;0
72.75;0.23542;0;349,2282314;65;80;57.863;0.18985;0
73;0.47292;0;391,995436;67;80;58.065;0.38138;0
73.5;0.23542;0;440;69;80;58.468;0.18985;0
73.75;0.23542;0;493,8833013;71;80;58.669;0.18985;0
74;0.47292;0;523,2511306;72;80;58.871;0.38138;0
74.5;0.47292;0;261,6255653;60;80;59.274;0.38138;0
75;0.47292;0;349,2282314;65;80;59.677;0.38138;0
75.5;0.47292;0;349,2282314;65;80;60.081;0.38138;0
76;0.47292;0;349,2282314;65;80;60.484;0.38138;0
76.5;0.23542;0;329,6275569;64;80;60.887;0.18985;0
76.75;0.23542;0;293,6647679;62;80;61.089;0.18985;0
77;0.47292;0;329,6275569;64;80;61.29;0.38138;0
77.5;0.47292;0;293,6647679;62;80;61.694;0.38138;0
78;0.47292;0;329,6275569;64;80;62.097;0.38138;0
78.5;0.47292;0;261,6255653;60;80;62.5;0.38138;0
79;1.8979;0;293,6647679;62;80;62.903;1.5306;0
81;1.4229;0;261,6255653;60;80;64.516;1.1475;1
82.5;0.47292;0;523,2511306;72;80;65.726;0.38138;0
83;0.47292;0;523,2511306;72;80;66.129;0.38138;0
83.5;0.47292;0;523,2511306;72;80;66.532;0.38138;0
84;0.94792;0;349,2282314;65;80;66.936;0.76445;0
85;1.4229;0;440;69;80;67.742;1.1475;0
86.5;0.47292;0;293,6647679;62;80;68.952;0.38138;0
87;0.47292;0;391,995436;67;80;69.355;0.38138;0
87.5;0.47292;0;349,2282314;65;80;69.758;0.38138;0
88;0.94792;0;329,6275569;64;80;70.161;0.76445;0
89;3.7979;0;261,6255653;60;80;70.968;3.0628;0
