,Frequency,Timestamp,Boundary,Location_change,Visual_cue,Responses
0,261.6255653005986,0.322,0,0,0,0
1,440.0,0.571,0,0,0,0
2,391.9954359817492,1.569,0,0,0,0
3,349.22823143300394,2.061,0,0,0,0
4,349.22823143300394,2.543,0,0,0,0
5,329.62755691286986,2.781,0,0,0,0
6,349.22823143300394,3.046,0,1,1,0
7,440.0,3.563,0,0,0,0
8,293.66476791740763,4.058,0,0,0,0
9,391.9954359817492,4.605,0,0,0,0
10,349.22823143300394,5.561,0,0,0,0
11,329.62755691286986,6.059,0,0,0,0
12,329.62755691286986,6.523,0,0,0,0
13,293.66476791740763,6.777,0,0,0,0
14,329.62755691286986,7.054,0,0,0,0
15,261.6255653005986,7.613,0,0,0,0
16,391.9954359817492,8.536,1,0,1,0
17,329.62755691286986,9.035,0,0,0,0
18,440.0,9.534,0,0,0,0
19,293.66476791740763,10.054,0,0,0,0
20,329.62755691286986,10.533,0,0,0,0
21,349.22823143300394,10.781,0,0,0,0
22,391.9954359817492,11.041,0,0,0,0
23,195.99771799087463,11.578,0,0,0,0
24,261.6255653005986,12.073,0,0,0,0
25,293.66476791740763,12.541,0,0,0,0
26,329.62755691286986,12.77,0,0,0,0
27,349.22823143300394,13.078,0,1,0,0
28,391.9954359817492,14.294,0,0,0,0
29,329.62755691286986,14.525,0,0,0,0
30,349.22823143300394,14.791,0,0,0,0
31,293.66476791740763,15.057,0,0,0,0
32,261.6255653005986,15.611,0,0,0,0
33,261.6255653005986,16.523,1,1,0,0
34,293.66476791740763,16.786,0,0,0,0
35,329.62755691286986,17.028,0,0,0,0
36,293.66476791740763,17.279,0,0,0,0
37,261.6255653005986,17.527,0,0,0,0
38,329.62755691286986,17.779,0,0,0,0
39,293.66476791740763,18.034,0,0,0,0
40,349.22823143300394,18.286,0,0,0,0
41,329.62755691286986,18.558,0,0,0,0
42,391.9954359817492,19.284,0,0,0,0
43,349.22823143300394,19.56,0,0,0,0
44,440.0,20.292,0,0,0,0
45,391.9954359817492,20.532,0,0,0,0
46,349.22823143300394,20.779,0,0,0,0
47,391.9954359817492,21.028,0,1,1,0
48,293.66476791740763,21.279,0,0,0,0
49,329.62755691286986,21.532,0,0,0,0
50,349.22823143300394,21.785,0,0,0,1
51,329.62755691286986,22.025,0,1,0,0
52,261.6255653005986,22.274,0,0,0,0
53,246.94165062806212,22.552,0,0,0,0
54,261.6255653005986,23.1,0,0,0,0
55,261.6255653005986,24.105,1,0,0,0
56,329.62755691286986,25.099,0,0,0,0
57,440.0,26.11,0,0,0,0
58,349.22823143300394,27.111,0,0,0,0
59,293.66476791740763,28.102,0,0,0,0
60,493.88330125612424,29.106,0,0,0,0
61,523.2511306011972,30.173,0,0,0,0
62,523.2511306011972,32.064,1,0,0,0
63,523.2511306011972,32.565,0,0,0,0
64,659.2551138257397,33.135,0,0,1,1
65,587.3295358348153,34.568,0,0,0,0
66,523.2511306011972,35.066,0,0,1,0
67,523.2511306011972,35.55,0,0,0,0
68,523.2511306011972,36.074,0,0,0,0
69,493.88330125612424,36.542,0,0,0,0
70,523.2511306011972,36.785,0,0,0,0
71,587.3295358348153,37.118,0,0,0,0
72,659.2551138257397,38.573,0,0,0,0
73,523.2511306011972,39.109,0,0,0,0
74,391.9954359817492,40.073,1,1,1,0
75,440.0,40.541,0,0,0,0
76,493.88330125612424,40.786,0,0,0,0
77,523.2511306011972,41.051,0,0,0,1
78,261.6255653005986,41.572,0,0,0,0
79,349.22823143300394,42.069,0,0,0,0
80,349.22823143300394,42.567,0,0,0,0
81,349.22823143300394,43.066,0,1,1,0
82,329.62755691286986,43.537,0,0,0,0
83,293.66476791740763,43.781,0,0,0,0
84,329.62755691286986,44.06,0,0,0,1
85,293.66476791740763,44.572,0,0,0,0
86,329.62755691286986,45.07,0,0,0,0
87,261.6255653005986,45.564,0,0,0,0
88,293.66476791740763,46.11,0,0,0,0
89,261.6255653005986,47.102,0,0,0,0
90,261.6255653005986,48.1,1,1,1,1
91,246.94165062806212,49.286,0,0,0,0
92,261.6255653005986,49.532,0,0,0,0
93,293.66476791740763,49.785,0,0,0,0
94,329.62755691286986,50.054,0,0,0,0
95,261.6255653005986,50.562,0,0,0,0
96,220.0,51.066,0,0,0,0
97,369.9944227116344,51.564,0,0,0,0
98,391.9954359817492,52.077,0,0,0,0
99,293.66476791740763,52.564,0,0,0,0
100,329.62755691286986,53.075,0,0,0,0
101,246.94165062806212,53.564,0,0,0,0
102,261.6255653005986,54.038,0,0,0,0
103,293.66476791740763,54.283,0,0,0,0
104,329.62755691286986,54.526,0,0,0,0
105,246.94165062806212,54.778,0,0,0,0
106,261.6255653005986,55.092,0,0,0,0
107,261.6255653005986,56.101,1,1,0,1
108,293.66476791740763,57.106,0,0,0,0
109,329.62755691286986,58.104,0,0,0,0
110,349.22823143300394,59.137,0,0,0,0
111,329.62755691286986,60.564,0,0,0,0
112,293.66476791740763,61.065,0,0,0,0
113,391.9954359817492,61.569,0,0,0,0
114,329.62755691286986,62.064,0,0,0,0
115,293.66476791740763,62.544,0,0,0,0
116,329.62755691286986,62.776,0,0,0,0
117,261.6255653005986,63.092,0,0,0,0
