,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes,time_difference,block,condition_number,trial_number,condition_n,trial_n,signal_theory
247,23.008,220.0,1.0,1,23.629,test4,sub21,train,2024-04-09,16-50-44,1,1,0,1,0.6210000000000022,training,248,24,1,5,fa
251,27.009,523.2511306,-17.5,1,27.881,test4,sub21,train,2024-04-09,16-50-44,1,1,1,1,0.8719999999999999,training,252,28,1,5,hit
255,31.01,830.6093952,1.0,0,0.0,test4,sub21,train,2024-04-09,16-50-44,1,1,1,1,-31.01,training,256,32,1,5,miss
263,39.01,622.2539674,1.0,1,39.85,test4,sub21,train,2024-04-09,16-50-44,1,1,1,1,0.8400000000000034,training,264,40,1,5,hit
267,43.005,440.0,1.0,0,0.0,test4,sub21,train,2024-04-09,16-50-44,1,1,0,1,-43.005,training,268,44,1,5,corr
275,51.012,293.6647679,1.0,1,51.87,test4,sub21,train,2024-04-09,16-50-44,1,1,1,1,0.857999999999997,training,276,52,1,5,hit
296,8.516,391.995436,-17.5,0,0.0,stim_maj_2,sub21,melody,2024-04-09,16-52-17,1,1,0,1,-8.516,experiment,17,17,2,6,corr
335,24.005,261.6255653,17.5,0,0.0,stim_maj_2,sub21,melody,2024-04-09,16-52-17,1,1,1,1,-24.005,experiment,56,56,2,6,miss
339,28.0,349.2282314,1.0,0,0.0,stim_maj_2,sub21,melody,2024-04-09,16-52-17,1,0,1,1,-28.0,experiment,60,60,2,6,miss
341,30.007,523.2511306,-17.5,0,0.0,stim_maj_2,sub21,melody,2024-04-09,16-52-17,1,0,1,1,-30.007,experiment,62,62,2,6,miss
354,40.006,391.995436,-17.5,0,0.0,stim_maj_2,sub21,melody,2024-04-09,16-52-17,1,1,0,1,-40.006,experiment,75,75,2,6,corr
370,48.011,261.6255653,1.0,0,0.0,stim_maj_2,sub21,melody,2024-04-09,16-52-17,1,1,1,1,-48.011,experiment,91,91,2,6,miss
387,56.011,261.6255653,1.0,0,0.0,stim_maj_2,sub21,melody,2024-04-09,16-52-17,1,1,1,1,-56.011,experiment,108,108,2,6,miss
428,8.018,261.6255653,1.0,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,1,1,1,-8.018,experiment,149,31,2,7,miss
436,12.007,391.995436,1.0,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,0,0,1,-12.007,experiment,157,39,2,7,corr
441,16.009,329.6275569,17.5,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,1,1,1,-16.009,experiment,162,44,2,7,miss
447,19.511,329.6275569,1.0,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,0,0,1,-19.511,experiment,168,50,2,7,corr
453,22.501,329.6275569,-17.5,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,0,0,1,-22.501,experiment,174,56,2,7,corr
474,30.021,349.2282314,17.5,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,0,0,1,-30.021,experiment,195,77,2,7,corr
501,37.013,329.6275569,1.0,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,0,1,1,-37.013,experiment,222,104,2,7,miss
507,40.265,391.995436,1.0,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,1,0,1,-40.265,experiment,228,110,2,7,corr
522,44.009,587.3295358,-17.5,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,0,0,1,-44.009,experiment,243,125,2,7,corr
539,53.023,293.6647679,17.5,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,0,1,1,-53.023,experiment,260,142,2,7,miss
547,56.024,391.995436,1.0,0,0.0,stim_maj_5,sub21,melody,2024-04-09,16-53-28,1,1,1,1,-56.024,experiment,268,150,2,7,miss
568,2.015,415.3046976,1.0,1,2.715,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,0,1,1,0.6999999999999997,experiment,289,7,2,8,hit
591,8.25,523.2511306,17.5,0,0.0,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,1,0,1,-8.25,experiment,312,30,2,8,corr
612,16.011,261.6255653,1.0,1,16.683,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,1,0,1,0.6720000000000006,experiment,333,51,2,8,fa
622,20.0,622.2539674,-17.5,1,20.904,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,0,1,1,0.9039999999999999,experiment,343,61,2,8,hit
634,24.005,391.995436,1.0,0,0.0,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,1,0,1,-24.005,experiment,355,73,2,8,corr
637,26.002,587.3295358,17.5,0,0.0,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,0,1,1,-26.002,experiment,358,76,2,8,miss
651,35.508,391.995436,1.0,0,0.0,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,0,0,1,-35.508,experiment,372,90,2,8,corr
673,48.263,195.997718,-17.5,1,48.901,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,1,1,1,0.6380000000000052,experiment,394,112,2,8,hit
680,50.009,391.995436,-17.5,0,0.0,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,0,0,1,-50.009,experiment,401,119,2,8,corr
701,58.011,311.1269837,1.0,0,0.0,stim_min_3,sub21,melody,2024-04-09,16-55-43,1,0,0,1,-58.011,experiment,422,140,2,8,corr
726,6.013,293.6647679,1.0,1,6.747,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,0,1,1,0.734,experiment,447,14,2,9,hit
738,11.005,391.995436,17.5,1,11.861,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,0,1,1,0.8559999999999999,experiment,459,26,2,9,hit
748,16.002,261.6255653,1.0,0,0.0,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,1,1,1,-16.002,experiment,469,36,2,9,miss
771,24.005,391.995436,1.0,1,24.814,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,1,1,1,0.809000000000001,experiment,492,59,2,9,hit
792,32.0,523.2511306,17.5,0,0.0,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,1,1,1,-32.0,experiment,513,80,2,9,miss
797,34.004,261.6255653,1.0,0,0.0,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,0,1,1,-34.004,experiment,518,85,2,9,miss
828,48.012,246.9416506,-17.5,0,0.0,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,1,0,1,-48.012,experiment,549,116,2,9,corr
831,50.008,329.6275569,1.0,1,51.055,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,0,1,1,1.046999999999997,experiment,552,119,2,9,hit
843,56.507,523.2511306,1.0,0,0.0,stim_maj_1,sub21,melody,2024-04-09,16-56-58,1,1,0,1,-56.507,experiment,564,131,2,9,corr
874,7.033,391.995436,17.5,0,0.0,stim_maj_3,sub21,melody,2024-04-09,16-58-08,1,0,1,1,-7.033,experiment,595,22,2,10,miss
886,11.007,783.990872,1.0,1,11.784,stim_maj_3,sub21,melody,2024-04-09,16-58-08,1,0,1,1,0.777000000000001,experiment,607,34,2,10,hit
898,14.013,329.6275569,-17.5,1,14.669,stim_maj_3,sub21,melody,2024-04-09,16-58-08,1,0,1,1,0.6560000000000006,experiment,619,46,2,10,hit
905,16.259,391.995436,1.0,0,0.0,stim_maj_3,sub21,melody,2024-04-09,16-58-08,1,1,1,1,-16.259,experiment,626,53,2,10,miss
934,24.511,391.995436,1.0,1,25.398,stim_maj_3,sub21,melody,2024-04-09,16-58-08,1,1,1,1,0.8870000000000005,experiment,655,82,2,10,hit
956,32.007,523.2511306,-17.5,1,32.647,stim_maj_3,sub21,melody,2024-04-09,16-58-08,1,1,1,1,0.6400000000000006,experiment,677,104,2,10,hit
1012,51.009,880.0,17.5,1,52.162,stim_maj_3,sub21,melody,2024-04-09,16-58-08,1,0,1,1,1.1529999999999987,experiment,733,160,2,10,hit
1029,56.505,261.6255653,17.5,0,0.0,stim_maj_3,sub21,melody,2024-04-09,16-58-08,1,1,0,1,-56.505,experiment,750,177,2,10,corr
1050,2.014,587.3295358,1.0,0,0.0,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,0,1,1,-2.014,experiment,771,7,2,11,miss
1066,7.008,523.2511306,17.5,0,0.0,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,0,1,1,-7.008,experiment,787,23,2,11,miss
1071,11.011,587.3295358,17.5,0,0.0,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,0,0,1,-11.011,experiment,792,28,2,11,corr
1078,17.261,311.1269837,1.0,1,18.289,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,0,0,1,1.0280000000000022,experiment,799,35,2,11,fa
1085,20.002,391.995436,1.0,0,0.0,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,0,0,1,-20.002,experiment,806,42,2,11,corr
1121,32.007,391.995436,-17.5,1,32.571,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,1,1,1,0.5640000000000001,experiment,842,78,2,11,hit
1127,36.014,587.3295358,1.0,1,37.103,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,0,0,1,1.0889999999999986,experiment,848,84,2,11,fa
1132,40.015,523.2511306,1.0,0,0.0,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,1,0,1,-40.015,experiment,853,89,2,11,corr
1163,50.007,523.2511306,17.5,1,50.641,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,0,1,1,0.6340000000000003,experiment,884,120,2,11,hit
1179,56.011,391.995436,1.0,0,0.0,stim_min_5,sub21,melody,2024-04-09,16-59-18,1,1,1,1,-56.011,experiment,900,136,2,11,miss
1216,8.008,523.2511306,-17.5,0,0.0,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,1,0,1,-8.008,experiment,937,27,2,12,corr
1220,10.005,349.2282314,1.0,0,0.0,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,0,1,1,-10.005,experiment,941,31,2,12,miss
1267,24.014,523.2511306,1.0,1,24.885,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,1,1,1,0.8710000000000022,experiment,988,78,2,12,hit
1274,26.006,391.995436,-17.5,0,0.0,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,0,1,1,-26.006,experiment,995,85,2,12,miss
1291,32.014,523.2511306,17.5,0,0.0,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,1,1,1,-32.014,experiment,1012,102,2,12,miss
1317,40.002,391.995436,1.0,0,0.0,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,1,1,1,-40.002,experiment,1038,128,2,12,miss
1322,43.001,293.6647679,-17.5,1,43.809,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,0,1,1,0.8079999999999998,experiment,1043,133,2,12,hit
1346,54.014,415.3046976,17.5,0,0.0,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,0,0,1,-54.014,experiment,1067,157,2,12,corr
1348,56.006,391.995436,17.5,0,0.0,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,1,0,1,-56.006,experiment,1069,159,2,12,corr
1357,60.009,349.2282314,1.0,1,60.665,stim_min_4,sub21,melody,2024-04-09,17-00-34,1,0,1,1,0.6559999999999988,experiment,1078,168,2,12,hit
1379,5.008,415.3046976,17.5,0,0.0,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,0,1,1,-5.008,experiment,1100,13,2,13,miss
