,stimulus,time,corr,fa,hit,miss,hit_rate,false_rate,z_hit_rate,z_false_rate,d_prime,precision,recall,ff1
72,stim_min_5,32.0,0.0,0.0,2.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
73,stim_min_5,40.0,1.0,1.0,2.0,1.0,0.6666666666666666,0.5,-0.10709161150491855,0.7125278388936566,-0.8196194503985751,0.6666666666666666,0.6666666666666666,0.6666666666666666
74,stim_min_5,48.0,0.0,2.0,1.0,1.0,0.5,1.0,-0.5439827629180186,2.0454696515768473,-2.589452414494866,0.3333333333333333,0.5,0.4
75,stim_min_5,56.0,0.0,0.0,2.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
76,stim_min_6,8.0,0.0,1.0,3.0,0.0,1.0,1.0,0.7666906913212819,2.0454696515768473,-1.2787789602555655,0.75,1.0,0.8571428571428572
77,stim_min_6,16.0,2.0,0.0,3.0,1.0,0.75,0.0,0.11135396420163163,-0.6204139737895339,0.7317679379911655,1.0,0.75,0.8571428571428572
78,stim_min_6,24.0,0.0,1.0,4.0,0.0,1.0,1.0,0.7666906913212819,2.0454696515768473,-1.2787789602555655,0.8,1.0,0.8888888888888888
79,stim_min_6,32.0,0.0,0.0,1.0,1.0,0.5,0.0,-0.5439827629180186,-0.6204139737895339,0.07643121087151528,1.0,0.5,0.6666666666666666
80,stim_min_6,40.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.854656217157319,-0.6204139737895339,-1.234242243367785,,,
81,stim_min_6,56.0,1.0,1.0,2.0,0.0,1.0,0.5,0.7666906913212819,0.7125278388936566,0.05416285242762531,0.6666666666666666,1.0,0.8
