,stimulus,d_prime
1,stim_maj_2,0.9356504753172787
0,stim_maj_1,0.5757353839150584
4,stim_maj_5,0.4773440603742746
2,stim_maj_3,0.2541266935726053
5,stim_maj_6,0.25094549950919237
8,stim_min_3,0.1668695492537667
9,stim_min_4,0.03356032182377993
7,stim_min_2,-0.20479064435682212
3,stim_maj_4,-0.31077169516479347
10,stim_min_5,-0.43241654436226634
11,stim_min_6,-0.4882396937647684
6,stim_min_1,-1.1940975801812324
