,Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
63,63,23.011,261.6255653,35,0,0.0,stim_maj_3_b,p05,0,0,0,1,1.422916667
64,64,24.506,391.995436,35,0,0.0,stim_maj_3_b,p05,0,1,0,1,0.235416667
65,65,24.756,329.6275569,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
66,66,25.006,440.0,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
67,67,25.503,391.995436,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
68,68,26.003,349.2282314,35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.472916667
69,69,26.514,329.6275569,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
70,70,26.764,293.6647679,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
71,71,27.014,391.995436,35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
72,72,27.251,440.0,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
73,73,27.501,349.2282314,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
74,74,27.751,391.995436,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
75,75,28.013,329.6275569,35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
76,76,28.263,349.2282314,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
77,77,28.513,391.995436,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
78,78,29.013,391.995436,35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.472916667
79,79,29.509,349.2282314,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
80,80,30.006,329.6275569,35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
81,81,30.256,349.2282314,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
82,82,30.506,391.995436,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
83,83,30.753,440.0,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
84,84,31.003,293.6647679,1,0,0.0,stim_maj_3_b,p05,1,0,1,1,0.472916667
85,85,31.502,261.6255653,1,1,31.609,stim_maj_3_b,p05,0,0,0,0,0.472916667
86,86,32.011,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,1,0,1,0.472916667
87,87,32.511,493.8833013,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
88,88,32.761,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
89,89,33.011,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.472916667
90,90,33.508,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
91,91,33.757,493.8833013,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
92,92,34.008,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.947916667
93,93,35.006,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
94,94,35.256,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
95,95,35.506,493.8833013,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
96,96,35.763,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
97,97,36.0,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
98,98,36.26,391.995436,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
99,99,36.51,659.2551138,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
100,100,36.76,391.995436,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
101,101,37.01,698.4564629,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
102,102,37.257,391.995436,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
103,103,37.507,783.990872,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
104,104,38.006,659.2551138,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
105,105,38.26,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
106,106,38.51,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
107,107,38.756,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
108,108,39.006,493.8833013,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.472916667
109,109,39.506,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.947916667
110,110,40.501,391.995436,-35,0,0.0,stim_maj_3_b,p05,1,1,1,1,0.472916667
111,111,41.001,329.6275569,-35,1,41.189,stim_maj_3_b,p05,0,0,0,0,0.472916667
112,112,41.514,440.0,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
113,113,42.014,293.6647679,-35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.472916667
114,114,42.51,329.6275569,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
115,115,42.76,349.2282314,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
116,116,43.006,391.995436,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
117,117,43.506,195.997718,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
