,Frequency,Timestamp,Boundary,Location_change,Visual_cue,Responses
0,stim_min_2.csv,0.0,0,0,0,0
1,9,0.0,0,0,0,0
2,391.995436,0.016,0,0,0,0
3,311.1269837,0.501,0,0,0,0
4,261.6255653,1.0,0,0,0,0
5,415.3046976,1.514,0,0,0,0
6,415.3046976,2.014,0,0,0,0
7,391.995436,2.514,0,0,0,0
8,493.8833013,2.885,0,0,0,0
9,523.2511306,3.01,0,1,1,0
10,349.2282314,3.502,0,0,0,0
11,1,4.002,0,0,0,0
12,349.2282314,4.002,0,0,0,0
13,311.1269837,4.502,0,0,0,0
14,493.8833013,4.88,0,0,0,0
15,523.2511306,5.007,0,0,0,1
16,293.6647679,5.501,0,0,0,0
17,311.1269837,6.001,0,0,0,0
18,349.2282314,6.173,0,0,0,0
19,391.995436,6.345,0,0,0,0
20,349.2282314,6.501,0,0,0,0
21,311.1269837,6.673,1,0,0,0
22,293.6647679,6.844,0,0,0,0
23,261.6255653,7.0,0,0,0,0
24,391.995436,8.5,0,0,0,0
25,261.6255653,9.002,0,0,0,0
26,261.6255653,9.501,0,0,0,0
27,261.6255653,10.001,0,0,0,0
28,415.3046976,10.503,0,0,0,0
29,349.2282314,10.752,0,0,0,0
30,246.9416506,11.002,0,0,0,0
31,246.9416506,11.502,0,0,0,0
32,246.9416506,12.002,0,0,0,0
33,261.6255653,12.251,0,0,0,0
34,293.6647679,12.501,0,0,0,0
35,311.1269837,12.751,0,0,0,0
36,349.2282314,13.002,0,0,0,0
37,311.1269837,13.252,0,0,0,0
38,293.6647679,13.502,0,0,0,0
39,311.1269837,13.752,0,0,0,0
40,349.2282314,14.002,0,0,0,0
41,415.3046976,14.251,0,0,0,0
42,391.995436,14.501,1,1,0,0
43,349.2282314,14.751,0,0,0,0
44,311.1269837,15.013,0,0,0,0
45,18,16.013,0,0,0,0
46,523.2511306,16.013,0,0,0,0
47,587.3295358,16.261,0,0,0,0
48,493.8833013,16.511,0,0,0,0
49,523.2511306,16.761,0,0,0,0
50,440.0,17.011,0,0,0,0
51,880.0,17.511,0,0,0,0
52,830.6093952,18.008,0,0,1,0
53,880.0,18.257,0,0,0,0
54,739.9888454,18.507,0,0,0,0
55,830.6093952,18.757,0,0,0,0
56,659.2551138,19.014,0,0,0,0
57,880.0,19.514,0,0,0,0
58,659.2551138,19.764,0,0,0,0
59,698.4564629,20.013,0,0,0,0
60,587.3295358,20.513,0,0,0,0
61,391.995436,21.013,0,0,0,0
62,783.990872,21.513,0,0,0,0
63,659.2551138,22.012,0,1,1,0
64,698.4564629,22.262,1,1,1,0
65,587.3295358,22.512,0,0,0,0
66,659.2551138,22.762,0,0,0,0
67,1,23.011,0,0,0,0
68,523.2511306,23.011,0,0,0,0
69,9,24.51,0,1,0,0
70,261.6255653,24.51,0,0,0,0
71,261.6255653,25.01,0,0,0,0
72,261.6255653,25.51,0,0,0,0
73,293.6647679,26.009,0,0,0,0
74,293.6647679,26.509,0,0,0,0
75,1,27.008,0,0,0,0
76,293.6647679,27.008,0,0,0,0
77,311.1269837,27.257,0,0,0,0
78,349.2282314,27.507,0,0,0,0
79,293.6647679,27.758,0,0,0,0
80,311.1269837,28.009,0,0,0,0
81,293.6647679,28.51,0,0,0,0
82,311.1269837,28.758,0,0,0,0
83,261.6255653,29.006,1,1,0,0
84,293.6647679,29.506,0,0,0,0
85,311.1269837,30.005,0,0,0,0
86,293.6647679,30.255,0,0,0,0
87,311.1269837,30.505,0,0,0,0
88,349.2282314,30.755,0,0,0,0
89,391.995436,31.005,0,0,0,0
90,18,32.01,0,0,0,0
91,261.6255653,32.01,0,0,0,0
92,391.995436,33.01,0,0,0,0
93,311.1269837,34.007,0,0,0,0
94,293.6647679,35.505,1,0,0,0
95,261.6255653,36.005,0,0,0,0
96,311.1269837,36.505,0,0,0,0
97,293.6647679,37.005,0,1,1,0
98,261.6255653,37.509,0,0,0,0
99,246.9416506,38.009,0,0,0,0
100,220.0,38.509,0,0,0,0
101,195.997718,39.004,0,0,0,0
102,261.6255653,40.51,0,0,1,0
103,261.6255653,41.011,0,0,0,0
104,261.6255653,41.51,0,0,0,0
105,1,42.01,0,0,0,0
106,311.1269837,42.01,1,1,1,0
107,293.6647679,43.501,0,0,0,0
108,261.6255653,43.751,0,0,0,0
109,293.6647679,44.015,0,0,0,0
110,195.997718,44.515,0,0,0,0
111,391.995436,45.014,0,0,0,0
112,369.9944227,46.513,0,0,0,0
113,440.0,46.762,0,0,0,0
114,391.995436,47.012,0,0,0,0
115,9,48.012,0,1,1,0
116,391.995436,48.012,0,0,0,0
117,261.6255653,49.012,0,0,0,0
118,523.2511306,49.512,1,0,1,0
119,466.1637615,50.012,0,0,0,0
120,415.3046976,50.512,0,0,0,0
121,391.995436,50.762,0,0,0,0
122,415.3046976,51.012,0,0,0,0
123,391.995436,52.002,0,0,0,0
124,349.2282314,53.002,0,0,0,0
125,1,54.001,0,1,0,0
126,311.1269837,54.045,0,0,0,0
127,293.6647679,54.514,0,0,0,0
