,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
65,21.752,415.3046976,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
66,22.014,391.995436,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.235416667
67,22.264,415.3046976,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
68,22.514,349.2282314,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
69,22.764,391.995436,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
70,23.014,311.1269837,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.472916667
71,23.511,261.6255653,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
72,24.007,391.995436,17.5,0,0.0,stim_min_3_b,p12,1,1,0,1,0.947916667
73,25.004,261.6255653,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.710416667
74,25.751,293.6647679,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
75,26.013,311.1269837,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.710416667
76,26.763,349.2282314,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
77,27.01,391.995436,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.947916667
78,28.006,415.3046976,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.947916667
79,29.012,391.995436,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.710416667
80,29.763,349.2282314,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
81,30.009,311.1269837,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.710416667
82,30.759,293.6647679,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
83,31.006,261.6255653,1.0,1,31.612,stim_min_3_b,p12,1,0,1,1,0.947916667
84,32.002,523.2511306,1.0,0,0.0,stim_min_3_b,p12,0,1,0,1,0.472916667
85,32.515,587.3295358,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
86,33.011,622.2539674,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.472916667
87,33.501,523.2511306,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
88,34.013,783.990872,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,1.422916667
89,35.506,523.2511306,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
90,36.006,830.6093952,-17.5,0,0.0,stim_min_3_b,p12,0,0,1,1,1.422916667
91,37.515,523.2511306,-17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
92,38.015,783.990872,-17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.710416667
93,38.761,698.4564629,-17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
94,39.011,622.2539674,-17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.235416667
95,39.261,587.3295358,-17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
96,39.511,523.2511306,-17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.947916667
97,40.506,391.995436,1.0,0,0.0,stim_min_3_b,p12,0,1,1,1,0.472916667
98,41.005,349.2282314,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
99,41.505,391.995436,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
100,42.001,415.3046976,1.0,0,0.0,stim_min_3_b,p12,1,0,0,1,0.472916667
101,42.514,440.0,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
102,43.014,391.995436,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.472916667
103,43.513,440.0,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
104,44.01,466.1637615,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.472916667
105,44.501,493.8833013,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
106,45.009,415.3046976,17.5,0,0.0,stim_min_3_b,p12,0,0,1,1,0.472916667
107,45.509,493.8833013,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
108,46.009,523.2511306,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.472916667
109,46.505,391.995436,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.472916667
110,47.014,261.6255653,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,1.185416667
111,48.261,195.997718,1.0,0,0.0,stim_min_3_b,p12,1,1,1,1,0.235416667
112,48.511,261.6255653,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
113,48.758,311.1269837,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
114,49.007,293.6647679,1.0,1,49.023,stim_min_3_b,p12,0,0,0,1,0.235416667
115,49.254,195.997718,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
