,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes,time_difference,signal_theory,part
13,6.014,329.6275569,1.0,0,0.0,stim_maj_1,p_Zofia,melody,1,0,1,1,-6.014,miss,main
18,8.51,391.995436,17.5,0,0.0,stim_maj_1,p_Zofia,melody,1,1,1,1,-8.51,miss,main
95,40.001,261.6255653,1.0,1,40.313,stim_maj_1,p_Zofia,melody,1,1,0,1,0.3120000000000047,fa,main
115,48.013,246.9416506,17.5,0,0.0,stim_maj_1,p_Zofia,melody,1,1,1,1,-48.013,miss,main
121,51.004,293.6647679,1.0,1,51.516,stim_maj_1,p_Zofia,melody,1,0,1,1,0.5120000000000005,hit,main
129,54.013,261.6255653,1.0,0,0.0,stim_maj_1,p_Zofia,melody,1,0,0,1,-54.013,corr,main
133,58.013,349.2282314,-17.5,1,58.544,stim_maj_1,p_Zofia,melody,1,0,0,1,0.5309999999999988,fa,main
135,60.51,440.0,-17.5,1,61.634,stim_maj_1,p_Zofia,melody,1,0,0,1,1.1240000000000023,fa,main
23,10.008,659.2551138,1.0,1,10.661,stim_maj_1,p_Zofia,main,1,0,1,1,0.6530000000000005,hit,main
30,13.012,329.6275569,17.5,0,0.0,stim_maj_1,p_Zofia,main,1,0,1,1,-13.012,miss,main
35,16.011,261.6255653,1.0,1,16.527,stim_maj_1,p_Zofia,main,1,1,1,1,0.5160000000000018,hit,main
79,32.004,523.2511306,-17.5,0,0.0,stim_maj_1,p_Zofia,main,1,1,0,1,-32.004,corr,main
91,38.003,293.6647679,17.5,1,38.967,stim_maj_1,p_Zofia,main,1,1,1,1,0.9639999999999986,hit,main
110,46.012,523.2511306,-17.5,1,46.709,stim_maj_1,p_Zofia,main,1,0,1,1,0.6970000000000027,hit,main
115,48.014,246.9416506,-17.5,1,48.748,stim_maj_1,p_Zofia,main,1,1,0,1,0.7339999999999947,fa,main
130,56.512,523.2511306,17.5,1,57.219,stim_maj_1,p_Zofia,main,1,1,1,1,0.7070000000000007,hit,main
17,7.006,261.6255653,1.0,0,0.0,stim_maj_1,p_Zofia,melody,1,0,1,1,-7.006,miss,main
43,17.003,440.0,17.5,0,0.0,stim_maj_1,p_Zofia,melody,1,0,0,1,-17.003,corr,main
58,24.001,391.995436,1.0,1,24.329,stim_maj_1,p_Zofia,melody,1,1,1,1,0.3279999999999994,hit,main
95,40.009,261.6255653,1.0,1,40.379,stim_maj_1,p_Zofia,melody,1,1,1,1,0.36999999999999744,hit,main
99,42.014,523.2511306,-17.5,0,0.0,stim_maj_1,p_Zofia,melody,1,0,1,1,-42.014,miss,main
115,48.002,246.9416506,-17.5,1,48.315,stim_maj_1,p_Zofia,melody,1,1,0,1,0.3129999999999953,fa,main
130,56.503,523.2511306,1.0,1,57.281,stim_maj_1,p_Zofia,melody,1,1,1,1,0.7779999999999987,hit,main
136,61.013,220.0,1.0,1,61.888,stim_maj_1,p_Zofia,melody,1,0,0,1,0.875,fa,main
18,8.635,391.995436,-17.5,0,0.0,stim_maj_1,p_Zofia,rhythm,1,1,0,1,-8.635,corr,main
28,12.011,349.2282314,1.0,1,12.555,stim_maj_1,p_Zofia,rhythm,1,0,1,1,0.5440000000000005,hit,main
35,14.876,261.6255653,17.5,1,15.435,stim_maj_1,p_Zofia,rhythm,1,1,1,1,0.559000000000001,hit,main
47,20.506,329.6275569,1.0,1,21.471,stim_maj_1,p_Zofia,rhythm,1,0,1,1,0.9649999999999999,hit,main
91,41.701,293.6647679,1.0,0,0.0,stim_maj_1,p_Zofia,rhythm,1,1,0,1,-41.701,corr,main
95,43.457,261.6255653,17.5,0,0.0,stim_maj_1,p_Zofia,rhythm,1,1,0,1,-43.457,corr,main
115,51.326,246.9416506,-17.5,1,51.935,stim_maj_1,p_Zofia,rhythm,1,1,1,1,0.6090000000000018,hit,main
8,3.014,523.2511306,1.0,0,0.0,stim_min_1,p_Zofia,melody,1,0,1,1,-3.014,miss,main
30,15.01,261.6255653,1.0,1,15.351,stim_min_1,p_Zofia,melody,1,0,0,1,0.3410000000000011,fa,main
39,24.503,391.995436,-17.5,1,24.999,stim_min_1,p_Zofia,melody,1,1,1,1,0.49599999999999866,hit,main
49,30.011,391.995436,1.0,1,30.586,stim_min_1,p_Zofia,melody,1,0,1,1,0.5749999999999993,hit,main
55,34.013,311.1269837,1.0,1,34.806,stim_min_1,p_Zofia,melody,1,0,1,1,0.7929999999999993,hit,main
66,40.005,261.6255653,1.0,1,40.333,stim_min_1,p_Zofia,melody,1,1,0,1,0.32799999999999585,fa,main
84,47.01,261.6255653,-17.5,0,0.0,stim_min_1,p_Zofia,melody,1,0,1,1,-47.01,miss,main
91,51.006,391.995436,1.0,1,51.49,stim_min_1,p_Zofia,melody,1,0,1,1,0.48400000000000176,hit,main
113,58.011,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,melody,1,0,1,1,-58.011,miss,main
8,3.012,587.3295358,-17.5,0,0.0,stim_min_1,p_Zofia,main,1,0,0,1,-3.012,corr,main
24,11.508,349.2282314,17.5,0,0.0,stim_min_1,p_Zofia,main,1,0,1,1,-11.508,miss,main
27,13.004,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,main,1,0,1,1,-13.004,miss,main
39,24.516,391.995436,17.5,1,24.984,stim_min_1,p_Zofia,main,1,1,1,1,0.4680000000000035,hit,main
61,37.014,261.6255653,1.0,1,37.698,stim_min_1,p_Zofia,main,1,0,1,1,0.6839999999999975,hit,main
66,40.013,261.6255653,1.0,0,0.0,stim_min_1,p_Zofia,main,1,1,0,1,-40.013,corr,main
77,44.015,391.995436,-17.5,0,0.0,stim_min_1,p_Zofia,main,1,0,0,1,-44.015,corr,main
85,48.01,391.995436,-17.5,0,0.0,stim_min_1,p_Zofia,main,1,1,0,1,-48.01,corr,main
89,50.001,261.6255653,1.0,0,0.0,stim_min_1,p_Zofia,main,1,0,0,1,-50.001,corr,main
101,56.001,261.6255653,17.5,1,56.431,stim_min_1,p_Zofia,main,1,1,1,1,0.4299999999999997,hit,main
16,6.004,293.6647679,17.5,0,0.0,stim_min_1,p_Zofia,melody,1,0,1,1,-6.004,miss,main
20,8.011,261.6255653,17.5,1,8.71,stim_min_1,p_Zofia,melody,1,1,0,1,0.6990000000000016,fa,main
23,11.0,391.995436,1.0,1,11.887,stim_min_1,p_Zofia,melody,1,0,1,1,0.8870000000000005,hit,main
36,21.009,523.2511306,1.0,1,21.303,stim_min_1,p_Zofia,melody,1,0,1,1,0.2940000000000005,hit,main
51,32.029,261.6255653,1.0,1,32.494,stim_min_1,p_Zofia,melody,1,1,1,1,0.4649999999999963,hit,main
63,38.003,415.3046976,-17.5,1,38.39,stim_min_1,p_Zofia,melody,1,0,0,1,0.38700000000000045,fa,main
