,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
63,28.759,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
64,29.006,587.3295358,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,1.422916667
65,30.514,659.2551138,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
66,31.001,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.947916667
67,32.013,391.995436,1.0,0,0.0,stim_maj_2_a,p11,0,1,0,1,0.472916667
68,32.513,440.0,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
69,32.763,493.8833013,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
70,33.009,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
71,33.506,261.6255653,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
72,34.008,349.2282314,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
73,34.505,349.2282314,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
74,35.005,349.2282314,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
75,35.501,329.6275569,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
76,35.752,293.6647679,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
77,36.002,329.6275569,1.0,0,0.0,stim_maj_2_a,p11,1,0,0,1,0.472916667
78,36.502,293.6647679,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
79,37.002,329.6275569,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
80,37.515,261.6255653,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
81,38.015,293.6647679,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.947916667
82,39.011,261.6255653,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.947916667
83,40.008,261.6255653,17.5,1,40.583,stim_maj_2_a,p11,1,1,1,1,1.185416667
84,41.251,246.9416506,17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
85,41.513,261.6255653,17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
