Column1,onset_sec,note,velocity,offset,duration,freq,boundary,changable_notes
194,36,62,80,36.47291667,0.472916667,293.6647679,0,1
196,36.5,55,80,36.97291667,0.472916667,195.997718,0,0
198,37,67,80,38.42291667,1.422916667,391.995436,0,1
200,38.5,66,80,38.73541667,0.235416667,369.9944227,0,1
202,38.75,69,80,38.98541667,0.235416667,440,0,0
204,39,67,80,39.94791667,0.947916667,391.995436,0,1
206,40,60,80,40.94791667,0.947916667,261.6255653,1,1
208,41,67,80,41.94791667,0.947916667,391.995436,0,1
210,42,63,80,43.42291667,1.422916667,311.1269837,0,1
212,43.5,62,80,43.97291667,0.472916667,293.6647679,0,1
214,44,60,80,44.47291667,0.472916667,261.6255653,0,1
216,44.5,63,80,44.97291667,0.472916667,311.1269837,0,0
218,45,62,80,45.47291667,0.472916667,293.6647679,0,1
220,45.5,60,80,45.97291667,0.472916667,261.6255653,0,0
222,46,59,80,46.47291667,0.472916667,246.9416506,0,1
224,46.5,57,80,46.97291667,0.472916667,220,0,0
226,47,55,80,47.94791667,0.947916667,195.997718,0,1
228,48,67,80,48.94791667,0.947916667,391.995436,1,1
230,49,60,80,49.47291667,0.472916667,261.6255653,0,1
232,49.5,72,80,49.97291667,0.472916667,523.2511306,0,0
234,50,70,80,50.47291667,0.472916667,466.1637615,0,1
236,50.5,68,80,50.73541667,0.235416667,415.3046976,0,0
238,50.75,67,80,50.98541667,0.235416667,391.995436,0,0
240,51,68,80,51.94791667,0.947916667,415.3046976,0,1
242,52,67,80,52.94791667,0.947916667,391.995436,0,1
244,53,65,80,53.94791667,0.947916667,349.2282314,0,1
246,54,63,80,54.47291667,0.472916667,311.1269837,0,1
248,54.5,62,80,54.97291667,0.472916667,293.6647679,0,0
250,55,60,80,56.42291667,1.422916667,261.6255653,0,1
252,56.5,67,80,56.97291667,0.472916667,391.995436,0,0
254,57,67,80,58.42291667,1.422916667,391.995436,1,1
256,58.5,67,80,58.97291667,0.472916667,391.995436,0,0
258,59,67,80,60.42291667,1.422916667,391.995436,0,1
260,60.5,67,80,60.97291667,0.472916667,391.995436,0,0
262,61,60,80,61.47291667,0.472916667,261.6255653,0,1
264,61.5,62,80,61.97291667,0.472916667,293.6647679,0,0
266,62,63,80,62.23541667,0.235416667,311.1269837,0,1
268,62.25,67,80,62.48541667,0.235416667,391.995436,0,0
270,62.5,59,80,62.97291667,0.472916667,246.9416506,0,0
272,63,60,80,63.94791667,0.947916667,261.6255653,0,0
