Column1;onset_sec;note;velocity;offset;duration;freq;boundary;changable_notes
194;40;72;80;40.71041667;0.710416667;523.2511306;1;1
196;40.75;70;80;40.98541667;0.235416667;466.1637615;0;0
198;41;68;80;41.23541667;0.235416667;415.3046976;0;1
200;41.25;67;80;41.48541667;0.235416667;391.995436;0;0
202;41.5;65;80;41.73541667;0.235416667;349.2282314;0;0
204;41.75;63;80;41.98541667;0.235416667;311.1269837;0;0
206;42;62;80;42.23541667;0.235416667;293.6647679;0;1
208;42.25;72;80;42.48541667;0.235416667;523.2511306;0;0
210;42.5;71;80;42.73541667;0.235416667;493.8833013;0;0
212;42.75;77;80;42.98541667;0.235416667;698.4564629;0;0
214;43;77;80;43.23541667;0.235416667;698.4564629;0;1
216;43.25;75;80;43.48541667;0.235416667;622.2539674;0;0
218;43.5;77;80;43.73541667;0.235416667;698.4564629;0;0
220;43.75;74;80;43.98541667;0.235416667;587.3295358;0;0
222;44;75;80;44.23541667;0.235416667;622.2539674;0;1
224;44.25;74;80;44.48541667;0.235416667;587.3295358;0;0
226;44.5;72;80;45.21041667;0.710416667;523.2511306;0;0
228;45.25;72;80;45.48541667;0.235416667;523.2511306;0;0
230;45.5;74;80;45.73541667;0.235416667;587.3295358;0;0
232;45.75;75;80;45.98541667;0.235416667;622.2539674;0;0
234;46;77;80;46.23541667;0.235416667;698.4564629;0;1
236;46.25;79;80;46.36666667;0.116666667;783.990872;0;0
238;46.375;80;80;46.49166667;0.116666667;830.6093952;0;0
240;46.5;79;80;46.73541667;0.235416667;783.990872;0;0
242;46.75;72;80;46.98541667;0.235416667;523.2511306;0;0
244;47;71;80;47.47291667;0.472916667;493.8833013;0;1
246;47.5;72;80;47.97291667;0.472916667;523.2511306;0;0
248;48;60;80;49.18541667;1.185416667;261.6255653;1;1
250;49.25;63;80;49.48541667;0.235416667;311.1269837;0;1
252;49.5;62;80;49.73541667;0.235416667;293.6647679;0;0
254;49.75;60;80;49.98541667;0.235416667;261.6255653;0;0
256;50;59;80;50.23541667;0.235416667;246.9416506;0;1
258;50.25;60;80;50.48541667;0.235416667;261.6255653;0;0
260;50.5;62;80;50.73541667;0.235416667;293.6647679;0;0
262;50.75;55;80;50.98541667;0.235416667;195.997718;0;0
264;51;58;80;51.71041667;0.710416667;246.94165062806212;0;1
266;51.75;62;80;51.98541667;0.235416667;293.6647679;0;0
268;52;67;80;52.71041667;0.710416667;349.22823143300394;0;1
270;52.75;61;80;52.98541667;0.235416667;311.1269837220809;0;0
272;53;60;80;53.23541667;0.235416667;261.6255653;0;1
274;53.25;58;80;53.48541667;0.235416667;246.94165062806212;0;0
276;53.5;56;80;53.73541667;0.235416667;207.6523488;0;0
278;53.75;55;80;53.98541667;0.235416667;195.997718;0;0
280;54;56;80;54.47291667;0.472916667;207.6523488;0;1
282;54.5;55;80;54.73541667;0.235416667;195.997718;0;0
284;54.75;56;80;54.98541667;0.235416667;207.6523488;0;0
286;55;53;80;55.94791667;0.947916667;174.6141157;0;1
288;56;67;80;56.94791667;0.947916667;391.995436;1;1
290;57;67;80;57.94791667;0.947916667;391.995436;0;1
292;58;67;80;59.42291667;1.422916667;391.995436;0;1
294;59.5;65;80;59.73541667;0.235416667;349.2282314;0;1
296;59.75;67;80;59.98541667;0.235416667;391.995436;0;0
298;60;68;80;60.94791667;0.947916667;415.3046976;0;1
300;61;67;80;61.94791667;0.947916667;391.995436;0;1
302;62;65;80;62.94791667;0.947916667;349.2282314;0;1
304;63;63;80;63.23541667;0.235416667;311.1269837;0;0
306;63.25;62;80;63.48541667;0.235416667;293.6647679;0;0
308;63.5;60;80;63.97291667;0.472916667;261.6255653;0;0
