Column1,onset_sec,offset,midi_pitch,duration,freq,boundary,changable_notes
208,40.5,40.97291667,67,0.472916667,391.995436,0,0
210,41,41.47291667,64,0.472916667,329.6275569,0,1
212,41.5,41.97291667,60,0.472916667,261.6255653,0,0
214,42,42.47291667,69,0.472916667,440,0,1
216,42.5,42.97291667,65,0.472916667,349.2282314,0,0
218,43,43.94791667,67,0.947916667,391.995436,0,1
220,44,44.23541667,67,0.235416667,391.995436,0,1
222,44.25,44.48541667,65,0.235416667,349.2282314,0,0
224,44.5,44.73541667,64,0.235416667,329.6275569,0,0
226,44.75,44.98541667,65,0.235416667,349.2282314,0,0
228,45,45.23541667,67,0.235416667,391.995436,0,1
230,45.25,45.48541667,69,0.235416667,440,0,0
232,45.5,45.73541667,71,0.235416667,493.8833013,0,0
234,45.75,45.98541667,67,0.235416667,391.995436,0,0
236,46,46.23541667,72,0.235416667,523.2511306,0,1
238,46.25,46.48541667,74,0.235416667,587.3295358,0,0
240,46.5,46.73541667,76,0.235416667,659.2551138,0,0
242,46.75,46.98541667,79,0.235416667,783.990872,0,0
244,47,47.94791667,72,0.947916667,523.2511306,0,1
246,48,48.47291667,59,0.472916667,246.9416506,1,1
248,48.5,48.97291667,60,0.472916667,261.6255653,0,0
250,49,49.94791667,62,0.947916667,293.6647679,0,1
252,50,50.47291667,55,0.472916667,195.997718,0,1
254,50.5,50.73541667,57,0.235416667,220,0,0
256,50.75,50.98541667,59,0.235416667,246.9416506,0,0
258,51,51.47291667,60,0.472916667,261.6255653,0,1
260,51.5,51.73541667,62,0.235416667,293.6647679,0,0
262,51.75,51.98541667,64,0.235416667,329.6275569,0,0
264,52,52.47291667,65,0.472916667,349.2282314,0,1
266,52.5,52.97291667,64,0.472916667,329.6275569,0,0
268,53,53.47291667,62,0.472916667,293.6647679,0,1
270,53.5,53.73541667,64,0.235416667,329.6275569,0,0
272,53.75,53.98541667,62,0.235416667,293.6647679,0,0
274,54,56.37291667,60,2.372916667,261.6255653,0,1
276,56.5,56.97291667,72,0.472916667,523.2511306,1,1
278,57,57.47291667,72,0.472916667,523.2511306,0,0
280,57.5,57.97291667,72,0.472916667,523.2511306,0,0
282,58,58.94791667,65,0.947916667,349.2282314,0,1
284,59,60.42291667,69,1.422916667,440,0,1
286,60.5,60.97291667,62,0.472916667,293.6647679,0,1
288,61,61.47291667,67,0.472916667,391.995436,0,1
290,61.5,61.97291667,65,0.472916667,349.2282314,0,0
292,62,62.94791667,64,0.947916667,329.6275569,0,1
294,63,63.94791667,60,0.947916667,261.6255653,0,0
